Date,IP Address,Location,Email,Operation,Action,File Name,Path
"May 10, 2025",52.108.224.17,Cardiff Datacenter,someone@work.org.uk,SharePointFileOperation,Accessed file,(Draft) FileOne - 18th July 2024.docx,"Accessed from ""Shared Documents/AFolderName/MonthandYear"""
"May 10, 2025",20.68.123.31,Cardiff Datacenter,someone@work.org.uk,SharePointFileOperation,Accessed file,(Draft) FileOne - 18th July 2024.docx,"Accessed from ""Shared Documents/AFolderName/MonthandYear"""
"May 10, 2025",52.108.189.10,Cardiff Datacenter,someone@work.org.uk,SharePointFileOperation,Accessed file,(draft) Meeting minutes 4 February 2025.docx,"Accessed from ""Shared Documents/AFolderName/ANamedYear/SomeMonthandYear/DifferentDate"""
"May 10, 2025",86.24.146.210,Me,someone@work.org.uk,SharePointFileOperation,Accessed file,(Draft)  Meeting Two minutes - 15 May 2024.pdf,"Accessed from ""Shared Documents/AFolderName/MeetingandYear/MonthandYear"""
"May 10, 2025",20.90.191.9,London Datacenter,someone@work.org.uk,SharePointFileOperation,Accessed file,Agenda - 19 December 2023.docx,"Accessed from ""Shared Documents/AFolderName/NewFolderName/AMonthName"""
"May 10, 2025",86.24.146.210,Me,someone@work.org.uk,SharePointFileOperation,Accessed file,(Draft) Minutes held on 8th,"Accessed from ""Shared Documents/AFolderName/ANamedYear/DifferentDate"""
"May 10, 2025",4.205.197.38,Toronto Datacenter,someone@work.org.uk,SharePointFileOperation,Accessed file,(Draft) Meeting Three Minutes - 29th April 2025.docx,"Accessed from ""Shared Documents/AFolderName/ANamedYear/Some Date/Another Date"""
"May 10, 2025",52.108.42.38,"Toronto 
Datacenter",someone@work.org.uk,SharePointFileOperation,Accessed file,(Draft) Meeting Three Minutes - 29th April 2025.docx,"Accessed from ""Shared Documents/AFolderName/ANamedYear/Some Date/Another Date"""
"May 10, 2025",158.23.86.109,"Queretaro
Datacenter
(Mexico)",someone@work.org.uk,SharePointFileOperation,Accessed file,(Draft) Meeting Three Minutes - 29th April 2025.docx,"Accessed from ""Shared Documents/AFolderName/A NamedYear/Some Date/AnotherDate"""
"May 10, 2025",52.108.147.27,"Queretaro
Datacenter
(Mexico)",someone@work.org.uk,SharePointFileOperation,Accessed file,Annonymous.docx,"Accessed from ""AFolderName/Annonymous P drive"""
